method,method_label,candidate_budget,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,group_sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,changed_set_dice,constraint_validity,mean_target_logit_margin,generation_time_to_k_or_cap_seconds,candidate_evaluations,rounds_used
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,128,0.316,0.56,0.125,0.3105,0.11,0.11702401445472035,0.4885401487968538,0.4885401487968538,0.047815969686998035,0.327823301485426,0.327823301485426,0.732196223316913,0.5179110563765735,0.935523140384813,0.935523140384813,0.9959749438321861,1.0,0.5359013331775693,0.017428535699996247,128.0,1.0
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,256,0.54,0.635,0.45499999999999996,0.5325,0.415,0.10659968931744188,0.5602076146222972,0.5602076146222972,0.06109664520483023,0.34376327670293183,0.34376327670293183,0.647827998720856,0.5342681623931624,0.914400917930243,0.914400917930243,0.994189017368644,1.0,0.4523371411544317,0.04137566768504712,256.0,2.0
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,512,0.6485,0.72,0.595,0.6255,0.455,0.09626785078799326,0.6309435402994332,0.6309435402994332,0.061644998660628024,0.3324889390347655,0.3324889390347655,0.6436078732568296,0.5306126572492796,0.9082056429970234,0.9082056429970234,0.9900423220462667,1.0,0.38530408941883215,0.10083550769495105,512.0,4.0
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,1024,0.7295,0.805,0.685,0.703,0.505,0.09713961450403095,0.6421905903938636,0.6421905903938636,0.061495366809282345,0.33737409655140016,0.33737409655140016,0.5832063605011897,0.5369688789494292,0.9135867566613057,0.9135867566613057,0.990687424602541,1.0,0.37062049670831776,0.22912512911997965,1024.0,8.0
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,128,0.433,0.65,0.25,0.42800000000000005,0.24,0.10736930749979814,0.5411072287776377,0.5411072287776377,0.05526209517913096,0.32093255463713277,0.32093255463713277,0.7424752739909115,0.5200973235235464,0.9326202216264804,0.9326202216264804,0.9943624086221453,1.0,0.5064110335154797,0.0200552708500345,128.0,1.0
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,256,0.6040000000000001,0.74,0.51,0.5905,0.44499999999999995,0.10036843464521994,0.5976785181087536,0.5976785181087536,0.05820516215194278,0.3182403129641281,0.3182403129641281,0.6804118187616569,0.5269075429321097,0.9301398578777601,0.9301398578777601,0.9931796694046315,1.0,0.4371336802188963,0.04699021103998348,256.0,2.0
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,512,0.712,0.78,0.635,0.6859999999999999,0.48,0.0955820308732135,0.6417168633835301,0.6417168633835301,0.06103523520773256,0.3312957299021152,0.3312957299021152,0.6450549450549451,0.5242423687423687,0.9182922883188135,0.9182922883188135,0.9899704381309236,1.0,0.37652048382621545,0.11036021770502884,512.0,4.0
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,1024,0.755,0.82,0.7050000000000001,0.7274999999999999,0.535,0.09549917977156067,0.6456864436081762,0.6456864436081762,0.06023975823072456,0.3375867161378512,0.3375867161378512,0.6200388985381386,0.5306796931538573,0.9224609070720589,0.9224609070720589,0.9899829055611731,1.0,0.36069193393173193,0.24061558941500608,1024.0,8.0
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,128,0.3625,0.595,0.185,0.35600000000000004,0.16999999999999998,0.10490266313584355,0.542996521126011,0.542996521126011,0.051103337403606286,0.32162418651930247,0.32162418651930247,0.722395049375114,0.5146877993295019,0.9344709370181279,0.9344709370181279,0.9954318270310074,1.0,0.5298527729585125,0.018184616525013554,128.0,1.0
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,256,0.5505,0.655,0.455,0.536,0.385,0.09870425941381644,0.5944953316084269,0.5944953316084269,0.059753386242120725,0.32835154942557054,0.32835154942557054,0.7109401709401709,0.5274931972789116,0.9102601412979398,0.9102601412979398,0.993118404650227,1.0,0.44211098851922614,0.043608707254966246,256.0,2.0
