round,candidates,candidates_cumulative,feasible_candidates,margin_valid_candidates,archive_size,round_elapsed_seconds,cumulative_elapsed_seconds,proposal_adapts_to_oracle,acceptance_denominator_kind,query_id,method,method_seed,run_seed,robustness_seed,generator_training_seed,candidate_budget,direction,optimization_steps,gradient_restarts,final_unique_candidate_pool,backward_steps
2,64,128,64,52,80,0.04512135799996031,0.08889731899944309,True,all genetic population candidates,6,genetic_cfe,11,11125813,18125813,,512,disease_to_no_disease,,,,
3,64,192,64,51,125,0.049745341999368975,0.13864266099881206,True,all genetic population candidates,6,genetic_cfe,11,11125813,18125813,,512,disease_to_no_disease,,,,
4,64,256,64,56,180,0.05241297500106157,0.19105563599987363,True,all genetic population candidates,6,genetic_cfe,11,11125813,18125813,,512,disease_to_no_disease,,,,
5,64,320,64,53,233,0.05429616299988993,0.24535179899976356,True,all genetic population candidates,6,genetic_cfe,11,11125813,18125813,,512,disease_to_no_disease,,,,
6,64,384,64,52,282,0.0563286220003647,0.30168042100012826,True,all genetic population candidates,6,genetic_cfe,11,11125813,18125813,,512,disease_to_no_disease,,,,
7,64,448,64,60,340,0.059570226998403086,0.36125064799853135,True,all genetic population candidates,6,genetic_cfe,11,11125813,18125813,,512,disease_to_no_disease,,,,
8,64,512,64,59,395,0.06091969400040398,0.42217034199893533,True,all genetic population candidates,6,genetic_cfe,11,11125813,18125813,,512,disease_to_no_disease,,,,
1,512,512,16,16,1,0.10985129000073357,0.10985129000073357,True,final restart pool only,6,dice_gradient_style,11,11125813,18125813,,512,disease_to_no_disease,31.0,16.0,16.0,31.0
1,512,512,16,16,1,0.10477399499905005,0.10477399499905005,True,final restart pool only,6,wachter_style,11,11125813,18125813,,512,disease_to_no_disease,31.0,16.0,16.0,31.0
1,64,64,64,24,24,0.04641094399994472,0.04641094399994472,False,all independently sampled candidates,7,uniform_random,11,12125816,19125816,,512,disease_to_no_disease,,,,
2,64,128,64,19,43,0.047628890999476425,0.09403983499942115,False,all independently sampled candidates,7,uniform_random,11,12125816,19125816,,512,disease_to_no_disease,,,,
3,64,192,64,30,73,0.043823080999572994,0.13786291599899414,False,all independently sampled candidates,7,uniform_random,11,12125816,19125816,,512,disease_to_no_disease,,,,
4,64,256,64,35,108,0.04628767400026845,0.1841505899992626,False,all independently sampled candidates,7,uniform_random,11,12125816,19125816,,512,disease_to_no_disease,,,,
5,64,320,64,25,133,0.049065856999732205,0.2332164469989948,False,all independently sampled candidates,7,uniform_random,11,12125816,19125816,,512,disease_to_no_disease,,,,
6,64,384,63,22,155,0.04692857800000638,0.2801450249990012,False,all independently sampled candidates,7,uniform_random,11,12125816,19125816,,512,disease_to_no_disease,,,,
7,64,448,63,27,182,0.047986199000661145,0.3281312239996623,False,all independently sampled candidates,7,uniform_random,11,12125816,19125816,,512,disease_to_no_disease,,,,
8,64,512,63,35,217,0.05009531100040476,0.3782265350000671,False,all independently sampled candidates,7,uniform_random,11,12125816,19125816,,512,disease_to_no_disease,,,,
1,64,64,64,24,24,0.04331106700010423,0.04331106700010423,True,all genetic population candidates,7,genetic_cfe,11,12125816,19125816,,512,disease_to_no_disease,,,,
2,64,128,64,42,65,0.04484594599853153,0.08815701299863576,True,all genetic population candidates,7,genetic_cfe,11,12125816,19125816,,512,disease_to_no_disease,,,,
3,64,192,64,59,119,0.049641565999991144,0.1377985789986269,True,all genetic population candidates,7,genetic_cfe,11,12125816,19125816,,512,disease_to_no_disease,,,,
4,64,256,64,58,175,0.05023446500126738,0.1880330439998943,True,all genetic population candidates,7,genetic_cfe,11,12125816,19125816,,512,disease_to_no_disease,,,,
5,64,320,64,59,230,0.05280456499895081,0.2408376089988451,True,all genetic population candidates,7,genetic_cfe,11,12125816,19125816,,512,disease_to_no_disease,,,,
6,64,384,64,58,284,0.05752485500124749,0.2983624640000926,True,all genetic population candidates,7,genetic_cfe,11,12125816,19125816,,512,disease_to_no_disease,,,,
7,64,448,64,60,339,0.06187912399946072,0.3602415879995533,True,all genetic population candidates,7,genetic_cfe,11,12125816,19125816,,512,disease_to_no_disease,,,,
8,64,512,64,56,391,0.06359965299998294,0.42384124099953624,True,all genetic population candidates,7,genetic_cfe,11,12125816,19125816,,512,disease_to_no_disease,,,,
1,512,512,16,16,1,0.1107461030005652,0.1107461030005652,True,final restart pool only,7,dice_gradient_style,11,12125816,19125816,,512,disease_to_no_disease,31.0,16.0,16.0,31.0
1,512,512,16,16,1,0.10178005000125268,0.10178005000125268,True,final restart pool only,7,wachter_style,11,12125816,19125816,,512,disease_to_no_disease,31.0,16.0,16.0,31.0
1,64,64,64,32,32,0.04396729099971708,0.04396729099971708,False,all independently sampled candidates,8,uniform_random,11,13125819,20125819,,512,disease_to_no_disease,,,,
2,64,128,64,34,66,0.04559521999908611,0.08956251099880319,False,all independently sampled candidates,8,uniform_random,11,13125819,20125819,,512,disease_to_no_disease,,,,
3,64,192,64,37,103,0.04647654000109469,0.13603905099989788,False,all independently sampled candidates,8,uniform_random,11,13125819,20125819,,512,disease_to_no_disease,,,,
4,64,256,64,31,134,0.04748025799926836,0.18351930899916624,False,all independently sampled candidates,8,uniform_random,11,13125819,20125819,,512,disease_to_no_disease,,,,
5,64,320,64,30,164,0.04779989300004672,0.23131920199921296,False,all independently sampled candidates,8,uniform_random,11,13125819,20125819,,512,disease_to_no_disease,,,,
6,64,384,64,37,201,0.05059859399989364,0.2819177959991066,False,all independently sampled candidates,8,uniform_random,11,13125819,20125819,,512,disease_to_no_disease,,,,
7,64,448,64,34,235,0.05204571900139854,0.33396351500050514,False,all independently sampled candidates,8,uniform_random,11,13125819,20125819,,512,disease_to_no_disease,,,,
8,64,512,64,33,268,0.05469686199830903,0.38866037699881417,False,all independently sampled candidates,8,uniform_random,11,13125819,20125819,,512,disease_to_no_disease,,,,
1,64,64,64,32,32,0.045578984998428496,0.045578984998428496,True,all genetic population candidates,8,genetic_cfe,11,13125819,20125819,,512,disease_to_no_disease,,,,
2,64,128,64,59,87,0.04838324500087765,0.09396222999930615,True,all genetic population candidates,8,genetic_cfe,11,13125819,20125819,,512,disease_to_no_disease,,,,
3,64,192,64,60,145,0.05055415599963453,0.14451638599894068,True,all genetic population candidates,8,genetic_cfe,11,13125819,20125819,,512,disease_to_no_disease,,,,
4,64,256,64,59,203,0.05420025000057649,0.19871663599951717,True,all genetic population candidates,8,genetic_cfe,11,13125819,20125819,,512,disease_to_no_disease,,,,
5,64,320,64,57,255,0.05467634500018903,0.2533929809997062,True,all genetic population candidates,8,genetic_cfe,11,13125819,20125819,,512,disease_to_no_disease,,,,
6,64,384,64,60,314,0.05912593999892124,0.31251892099862744,True,all genetic population candidates,8,genetic_cfe,11,13125819,20125819,,512,disease_to_no_disease,,,,
7,64,448,64,60,369,0.06360398600008921,0.37612290699871664,True,all genetic population candidates,8,genetic_cfe,11,13125819,20125819,,512,disease_to_no_disease,,,,
8,64,512,64,63,427,0.06541403200026252,0.44153693899897917,True,all genetic population candidates,8,genetic_cfe,11,13125819,20125819,,512,disease_to_no_disease,,,,
1,512,512,16,16,1,0.11290803699921526,0.11290803699921526,True,final restart pool only,8,dice_gradient_style,11,13125819,20125819,,512,disease_to_no_disease,31.0,16.0,16.0,31.0
1,512,512,16,16,1,0.1002979820004839,0.1002979820004839,True,final restart pool only,8,wachter_style,11,13125819,20125819,,512,disease_to_no_disease,31.0,16.0,16.0,31.0
1,64,64,64,34,34,0.044190724000145565,0.044190724000145565,False,all independently sampled candidates,9,uniform_random,11,14125822,21125822,,512,disease_to_no_disease,,,,
2,64,128,64,37,71,0.047038515000167536,0.0912292390003131,False,all independently sampled candidates,9,uniform_random,11,14125822,21125822,,512,disease_to_no_disease,,,,
3,64,192,64,38,109,0.04651483300040127,0.13774407200071437,False,all independently sampled candidates,9,uniform_random,11,14125822,21125822,,512,disease_to_no_disease,,,,
4,64,256,64,35,144,0.04843575199993211,0.18617982400064648,False,all independently sampled candidates,9,uniform_random,11,14125822,21125822,,512,disease_to_no_disease,,,,
5,64,320,64,38,182,0.05028218099869264,0.23646200499933911,False,all independently sampled candidates,9,uniform_random,11,14125822,21125822,,512,disease_to_no_disease,,,,
6,64,384,64,32,214,0.050659794000239344,0.28712179899957846,False,all independently sampled candidates,9,uniform_random,11,14125822,21125822,,512,disease_to_no_disease,,,,
7,64,448,64,32,246,0.04986045100122283,0.3369822500008013,False,all independently sampled candidates,9,uniform_random,11,14125822,21125822,,512,disease_to_no_disease,,,,
