dataset,variant,attack,attack_seed,calibration_rows_per_group,evaluation_rows_per_group,latent_draws,calibration_raw_auc,orientation_selected_on_calibration,calibration_threshold,evaluation_auc,evaluation_accuracy,evaluation_balanced_accuracy,evaluation_tpr_at_calibrated_threshold,evaluation_fpr_at_calibrated_threshold,evaluation_membership_advantage,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.05
heartplus,dp_eps4,released_discriminator_score,505,1000,1000,0,0.5192765,1,3.874390840530396,0.496859,0.502,0.502,0.386,0.382,0.004,0.0,0.008,0.044
heartplus,dp_eps2,single_draw_loss_threshold,505,1000,1000,16,0.496233,-1,0.283168762922287,0.489096,0.4945,0.4945,0.68,0.691,-0.0109999999999998,0.0,0.007,0.043
heartplus,dp_eps2,multi_draw_reconstruction,505,1000,1000,16,0.496036,-1,0.067007340490818,0.500361,0.5025,0.5025,0.847,0.842,0.005,0.001,0.007,0.042
heartplus,dp_eps2,multi_draw_mean_objective,505,1000,1000,16,0.497085,-1,0.2883424162864685,0.497594,0.5065,0.5065,0.72,0.707,0.013,0.0,0.009,0.041
heartplus,dp_eps2,calibrated_gaussian_reconstruction_likelihood,505,1000,1000,16,0.4884595,-1,0.0055960238972119,0.503456,0.5045,0.5045000000000001,0.67,0.661,0.009,0.0,0.005,0.045
heartplus,dp_eps2,released_discriminator_score,505,1000,1000,0,0.5169805000000001,1,6.353695392608643,0.4991609999999999,0.501,0.501,0.212,0.21,0.002,0.0,0.005,0.052
heartplus,countergan,single_draw_loss_threshold,606,1000,1000,16,0.500437,1,-0.1670759469270706,0.492596,0.493,0.493,0.52,0.534,-0.014,0.006,0.015,0.047
heartplus,countergan,multi_draw_reconstruction,606,1000,1000,16,0.4993089999999999,-1,0.0538656450808048,0.504763,0.498,0.498,0.934,0.938,-0.0039999999999998,0.003,0.014,0.054
heartplus,countergan,multi_draw_mean_objective,606,1000,1000,16,0.502274,1,-0.5282785892486572,0.494058,0.5045,0.5045000000000001,0.79,0.781,0.009,0.005,0.015,0.047
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,606,1000,1000,16,0.5075945000000001,1,0.0437165873152204,0.4987545,0.4915,0.4915,0.672,0.689,-0.0169999999999999,0.0,0.014,0.06
heartplus,countergan,released_discriminator_score,606,1000,1000,0,0.4956625,-1,-4.054290294647217,0.492817,0.496,0.496,0.599,0.607,-0.008,0.002,0.007,0.047
heartplus,dp_eps16,single_draw_loss_threshold,606,1000,1000,16,0.51383,1,-1.126497745513916,0.49061,0.488,0.488,0.529,0.553,-0.024,0.002,0.003,0.04
heartplus,dp_eps16,multi_draw_reconstruction,606,1000,1000,16,0.5098090000000001,1,-0.9034793376922609,0.491692,0.4805,0.4805,0.539,0.578,-0.0389999999999999,0.0,0.007,0.047
heartplus,dp_eps16,multi_draw_mean_objective,606,1000,1000,16,0.519177,1,-0.7583357691764832,0.489309,0.499,0.499,0.396,0.398,-0.002,0.0,0.002,0.045
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,606,1000,1000,16,0.5135164999999999,1,0.028290712149831,0.4934335000000001,0.4805,0.4805,0.539,0.578,-0.0389999999999999,0.006,0.013,0.046
heartplus,dp_eps16,released_discriminator_score,606,1000,1000,0,0.5099675,1,0.4160080850124359,0.509788,0.5015,0.5015,0.721,0.718,0.003,0.005,0.009,0.047
heartplus,dp_eps8,single_draw_loss_threshold,606,1000,1000,16,0.510008,1,-0.9849198460578918,0.489402,0.497,0.497,0.514,0.52,-0.006,0.002,0.008,0.04
heartplus,dp_eps8,multi_draw_reconstruction,606,1000,1000,16,0.518812,1,-0.4924716353416443,0.489944,0.4905,0.4905,0.465,0.484,-0.0189999999999999,0.003,0.006,0.043
heartplus,dp_eps8,multi_draw_mean_objective,606,1000,1000,16,0.515703,1,-0.7488803267478943,0.489985,0.495,0.495,0.414,0.424,-0.01,0.002,0.008,0.044
heartplus,dp_eps8,calibrated_gaussian_reconstruction_likelihood,606,1000,1000,16,0.5188125,1,0.035617398401429,0.489944,0.4905,0.4905,0.465,0.484,-0.0189999999999999,0.003,0.006,0.043
