method,direction,candidate_budget,success_rate,rounds_to_k_or_cap,time_to_k_or_cap,candidates_to_k_or_cap,K
countergan_one_shot,no_disease_to_disease,256,0.13,1.0,0.011131391240023731,256.0,5
countergan_one_shot,no_disease_to_disease,512,0.19,1.0,0.01619253092996587,512.0,5
countergan_one_shot,no_disease_to_disease,1024,0.23,1.0,0.025611560449960963,1024.0,5
countergan_sparse_diverse_no_dp,disease_to_no_disease,128,0.58,1.0,0.017924006290004398,128.0,5
countergan_sparse_diverse_no_dp,disease_to_no_disease,256,0.83,1.43,0.027345605490045274,183.04,5
countergan_sparse_diverse_no_dp,disease_to_no_disease,512,0.88,1.73,0.0317244763799954,221.44,5
countergan_sparse_diverse_no_dp,disease_to_no_disease,1024,0.92,2.19,0.03932539151001947,280.32,5
countergan_sparse_diverse_no_dp,no_disease_to_disease,128,0.49,1.0,0.018792455470074857,128.0,5
countergan_sparse_diverse_no_dp,no_disease_to_disease,256,0.58,1.52,0.027098032489993783,194.56,5
countergan_sparse_diverse_no_dp,no_disease_to_disease,512,0.62,2.36,0.04036954887005777,302.08,5
countergan_sparse_diverse_no_dp,no_disease_to_disease,1024,0.66,3.77,0.06204635235996648,482.56,5
dice_gradient_style,disease_to_no_disease,128,0.0,1.0,0.020511078859999542,128.0,5
dice_gradient_style,disease_to_no_disease,256,0.0,1.0,0.03642130957994596,256.0,5
dice_gradient_style,disease_to_no_disease,512,0.21,1.0,0.06752446097994834,512.0,5
dice_gradient_style,disease_to_no_disease,1024,0.24,1.0,0.13076307949008878,1024.0,5
dice_gradient_style,no_disease_to_disease,128,0.0,1.0,0.020188862149980197,128.0,5
dice_gradient_style,no_disease_to_disease,256,0.0,1.0,0.03641119444000651,256.0,5
dice_gradient_style,no_disease_to_disease,512,0.03,1.0,0.06763272855995638,512.0,5
dice_gradient_style,no_disease_to_disease,1024,0.08,1.0,0.13076029511001253,1024.0,5
genetic_cfe,disease_to_no_disease,128,0.02,1.0,0.00631500646004497,128.0,5
genetic_cfe,disease_to_no_disease,256,0.09,1.98,0.0127452926100068,253.44,5
genetic_cfe,disease_to_no_disease,512,0.33,3.68,0.024011330760022247,471.04,5
genetic_cfe,disease_to_no_disease,1024,0.56,5.9,0.03909454146995813,755.2,5
genetic_cfe,no_disease_to_disease,128,0.01,1.0,0.006171704400012459,128.0,5
genetic_cfe,no_disease_to_disease,256,0.05,2.0,0.012518598840115374,256.0,5
genetic_cfe,no_disease_to_disease,512,0.13,3.81,0.02383368499995413,487.68,5
