method,method_seed,candidate_budget,direction,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,diversity,plausibility,generation_time_to_k_or_cap_seconds,candidate_evaluations
proposed_dp_eps16_sparse_diverse,11,64,no_disease_to_disease,0.9309999999999999,0.99,0.84,0.6729999999999999,0.04,0.07452354819109344,0.5993172465394688,0.05159674242439896,0.47072800864275705,0.24482596300005752,64.0
proposed_dp_eps16_sparse_diverse,11,128,disease_to_no_disease,0.997,1.0,0.99,0.831,0.33,0.08176850102841854,0.6308333333333334,0.07032366031780839,0.576106362098686,0.47944908564005345,128.0
proposed_dp_eps16_sparse_diverse,11,128,no_disease_to_disease,1.0,1.0,1.0,0.721,0.06,0.0728118747100234,0.6551666666666667,0.06649582318961621,0.5188276123599146,0.4930772411100042,128.0
proposed_dp_eps16_sparse_diverse,11,256,disease_to_no_disease,1.0,1.0,1.0,0.836,0.29,0.07829823091626167,0.7057222222222223,0.07630531588569284,0.6304691939021998,0.979791866079986,256.0
proposed_dp_eps16_sparse_diverse,11,256,no_disease_to_disease,1.0,1.0,1.0,0.746,0.11,0.07145032750442624,0.7096666666666667,0.07325337743386626,0.5676806738078861,0.9892067608198704,256.0
proposed_dp_eps16_sparse_diverse,11,512,disease_to_no_disease,1.0,1.0,1.0,0.815,0.21,0.0707363674044609,0.7689444444444444,0.07340054217725993,0.6610784703435375,2.0083559118399443,512.0
proposed_dp_eps16_sparse_diverse,11,512,no_disease_to_disease,1.0,1.0,1.0,0.73,0.15,0.06488510139286519,0.7663888888888889,0.07252144273370505,0.6046946672596625,2.0190373049799746,512.0
proposed_dp_eps2_sparse_diverse,11,64,disease_to_no_disease,0.988,1.0,0.97,0.88,0.5,0.10333282183855771,0.5039722222222223,0.05416731860488653,0.5244326849870659,0.23739611040003183,64.0
proposed_dp_eps2_sparse_diverse,11,64,no_disease_to_disease,0.978,1.0,0.95,0.762,0.13,0.07680538937449455,0.6008015873015873,0.06855059947818518,0.5041171124286664,0.24718024877995048,64.0
proposed_dp_eps2_sparse_diverse,11,128,disease_to_no_disease,1.0,1.0,1.0,0.907,0.48,0.10081264078617096,0.5851666666666666,0.07619615733623504,0.5980828991218814,0.49091019652993056,128.0
proposed_dp_eps2_sparse_diverse,11,128,no_disease_to_disease,1.0,1.0,1.0,0.759,0.13,0.07242759432643651,0.654388888888889,0.07449891384691,0.5284924138228656,0.4927180122898426,128.0
proposed_dp_eps2_sparse_diverse,11,256,disease_to_no_disease,1.0,1.0,1.0,0.897,0.47,0.09408278135582805,0.6666111111111112,0.08570942249149084,0.666125182231225,0.9934005777700168,256.0
