method,direction,candidate_budget,success_rate,rounds_to_k_or_cap,time_to_k_or_cap,candidates_to_k_or_cap,K
proposed_countergan,no_disease_to_disease,256,1.0,1.01,0.04559989155992298,64.64,5
proposed_countergan,no_disease_to_disease,512,1.0,1.0,0.045181260920071506,64.0,5
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,64,0.77,1.0,0.23244750914000178,64.0,5
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,128,1.0,1.19,0.28222960092009086,76.16,5
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,256,1.0,1.19,0.2793338908000624,76.16,5
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,512,1.0,1.18,0.27513298561998456,75.52,5
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,64,0.95,1.0,0.24478749144993345,64.0,5
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,128,1.0,1.04,0.25527305981007886,66.56,5
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,256,1.0,1.05,0.2552005720699344,67.2,5
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,512,1.0,1.05,0.2580018175499572,67.2,5
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,64,0.99,1.0,0.23735910889008666,64.0,5
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,128,1.0,1.01,0.24570170007002162,64.64,5
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,256,1.0,1.01,0.24429355905016564,64.64,5
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,512,1.0,1.01,0.24300001789999442,64.64,5
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,64,0.99,1.0,0.24714361795000514,64.0,5
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,128,1.0,1.02,0.2501588194899341,65.28,5
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,256,1.0,1.01,0.248182110520047,64.64,5
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,512,1.0,1.01,0.2486403139799404,64.64,5
