method,method_seed,candidate_budget,direction,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,diversity,plausibility,generation_time_to_k_or_cap_seconds,candidate_evaluations
proposed_countergan,11,512,no_disease_to_disease,0.574,0.74,0.41,0.564,0.37,0.14085169750693682,0.3752699127699128,0.047570192280250626,0.38865294231163144,0.0316914242600069,468.48
proposed_countergan,11,1024,disease_to_no_disease,0.894,0.96,0.84,0.887,0.82,0.17583996530932686,0.2960133744855967,0.04062950372463092,0.3817023682864136,0.04686497996000071,608.0
proposed_countergan,11,1024,no_disease_to_disease,0.627,0.77,0.51,0.621,0.51,0.14420781487768347,0.3683833802881422,0.04772747266892489,0.39298017240221944,0.04903706910002256,742.4
proposed_dp_eps16_sparse_diverse,11,128,disease_to_no_disease,0.532,0.87,0.23,0.526,0.21,0.13009690525459833,0.4832319730787164,0.05800137837984781,0.32621513752067083,0.01942211688999123,128.0
proposed_dp_eps16_sparse_diverse,11,128,no_disease_to_disease,0.1,0.25,0.02,0.095,0.01,0.10395112365484238,0.4938483245149912,0.03763056099414826,0.32943146545018115,0.015434954510001262,128.0
proposed_dp_eps16_sparse_diverse,11,256,disease_to_no_disease,0.8270000000000001,0.91,0.73,0.82,0.7,0.11774254385586623,0.545587921778398,0.07088840077375318,0.34361618046525433,0.049567213670025013,256.0
proposed_dp_eps16_sparse_diverse,11,256,no_disease_to_disease,0.253,0.36,0.18,0.245,0.13,0.09545683477901751,0.5748273074661964,0.05130488963590728,0.34391037294060933,0.03318412170006923,256.0
proposed_dp_eps16_sparse_diverse,11,512,disease_to_no_disease,0.883,0.93,0.84,0.853,0.67,0.10497768619848837,0.6256618497657924,0.0706327716589615,0.33681712857831286,0.12283612761993026,512.0
proposed_dp_eps16_sparse_diverse,11,512,no_disease_to_disease,0.414,0.51,0.35,0.39799999999999996,0.24,0.08755801537749815,0.636225230833074,0.052657225662294554,0.32816074949121815,0.07883488776997183,512.0
proposed_dp_eps16_sparse_diverse,11,1024,disease_to_no_disease,0.9079999999999999,0.93,0.9,0.8759999999999999,0.66,0.10123823370824578,0.6461569095977698,0.07494516338231744,0.3387150027546369,0.27467458745996737,1024.0
