method,direction,candidate_budget,success_rate,rounds_to_k_or_cap,time_to_k_or_cap,candidates_to_k_or_cap,K
wachter_style,disease_to_no_disease,256,0.0,1.0,0.11197229171998516,256.0,5
wachter_style,disease_to_no_disease,512,0.0,1.0,0.13940824014999634,512.0,5
wachter_style,no_disease_to_disease,64,0.0,1.0,0.09060341704998791,64.0,5
wachter_style,no_disease_to_disease,128,0.0,1.0,0.09819092592001652,128.0,5
wachter_style,no_disease_to_disease,256,0.0,1.0,0.11186074544999429,256.0,5
wachter_style,no_disease_to_disease,512,0.0,1.0,0.14020006989001557,512.0,5
countergan_one_shot,disease_to_no_disease,64,0.78,1.0,0.08489927203986554,64.0,10
countergan_one_shot,disease_to_no_disease,128,0.87,1.0,0.08654100182999173,128.0,10
countergan_one_shot,disease_to_no_disease,256,0.92,1.0,0.09171738481002649,256.0,10
countergan_one_shot,disease_to_no_disease,512,0.95,1.0,0.0962926117299412,512.0,10
countergan_one_shot,no_disease_to_disease,64,0.99,1.0,0.08615738544986015,64.0,10
countergan_one_shot,no_disease_to_disease,128,0.99,1.0,0.08444960557013474,128.0,10
countergan_one_shot,no_disease_to_disease,256,0.99,1.0,0.08619061907000286,256.0,10
countergan_one_shot,no_disease_to_disease,512,0.99,1.0,0.09347531898973102,512.0,10
countergan_sparse_diverse_no_dp,disease_to_no_disease,64,0.79,1.0,0.35728605127992524,64.0,10
countergan_sparse_diverse_no_dp,disease_to_no_disease,128,0.97,1.15,0.4147198205699351,73.6,10
countergan_sparse_diverse_no_dp,disease_to_no_disease,256,1.0,1.16,0.425315427170126,74.24,10
countergan_sparse_diverse_no_dp,disease_to_no_disease,512,1.0,1.19,0.4377504714499901,76.16,10
countergan_sparse_diverse_no_dp,no_disease_to_disease,64,0.98,1.0,0.3657839228299963,64.0,10
countergan_sparse_diverse_no_dp,no_disease_to_disease,128,0.99,1.03,0.38378973982997194,65.92,10
countergan_sparse_diverse_no_dp,no_disease_to_disease,256,0.99,1.05,0.382541924669913,67.2,10
countergan_sparse_diverse_no_dp,no_disease_to_disease,512,0.99,1.08,0.38986294151993206,69.12,10
dice_gradient_style,disease_to_no_disease,64,0.0,1.0,0.09159756182996716,64.0,10
dice_gradient_style,disease_to_no_disease,128,0.0,1.0,0.10000360117001947,128.0,10
dice_gradient_style,disease_to_no_disease,256,0.0,1.0,0.11712836714000333,256.0,10
dice_gradient_style,disease_to_no_disease,512,0.0,1.0,0.14829699071001415,512.0,10
dice_gradient_style,no_disease_to_disease,64,0.0,1.0,0.09261281561001851,64.0,10
dice_gradient_style,no_disease_to_disease,128,0.0,1.0,0.10019602069999564,128.0,10
dice_gradient_style,no_disease_to_disease,256,0.0,1.0,0.11652447693000795,256.0,10
dice_gradient_style,no_disease_to_disease,512,0.0,1.0,0.1485594198000126,512.0,10
genetic_cfe,disease_to_no_disease,64,0.15,1.0,0.08500193171003957,64.0,10
genetic_cfe,disease_to_no_disease,128,0.34,1.88,0.16039780228998096,120.32,10
