method,direction,candidate_budget,n_query_seed_runs,time_to_k_or_cap,rounds_to_k_or_cap,candidates_to_k_or_cap,valid_candidates_n,scored_candidates_N,acceptance,wilson_95_low,wilson_95_high
uniform_random,no_disease_to_disease,256,100,0.17823241203993348,1.21,77.44,7509,25600,0.2933203125,0.28777452743185655,0.2989281157234958
uniform_random,no_disease_to_disease,512,100,0.36196069855996027,1.26,80.64,16605,51200,0.32431640625,0.32027491890649934,0.328384254166131
wachter_style,disease_to_no_disease,64,100,0.0488326015700386,1.0,64.0,372,6400,0.058125,0.05265326280590325,0.06412687043593587
wachter_style,disease_to_no_disease,128,100,0.05638753828998233,1.0,128.0,971,12800,0.075859375,0.07139867684004701,0.08057457783347012
wachter_style,disease_to_no_disease,256,100,0.07158725040001628,1.0,256.0,1568,25600,0.06125,0.05837795748488538,0.06425369776382331
wachter_style,disease_to_no_disease,512,100,0.10112936934000573,1.0,512.0,1600,51200,0.03125,0.02977770662226837,0.03279262731248723
wachter_style,no_disease_to_disease,64,100,0.04846842423001362,1.0,64.0,394,6400,0.0615625,0.055932706102258,0.06771830304788364
wachter_style,no_disease_to_disease,128,100,0.056363540409993224,1.0,128.0,1336,12800,0.104375,0.0991964728178474,0.10979092111596926
wachter_style,no_disease_to_disease,256,100,0.07157310777997736,1.0,256.0,1600,25600,0.0625,0.05959993764633532,0.06553134251619472
wachter_style,no_disease_to_disease,512,100,0.10077152727998509,1.0,512.0,1600,51200,0.03125,0.02977770662226837,0.03279262731248723
