candidate_cohort_seed,cohort_position,query_id,method,method_family,direction,candidate_budget,rank,cfe_logit
101,387,8,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,disease_to_no_disease,1024,4,-0.128570944070816
101,388,3,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,disease_to_no_disease,1024,9,-1.7823798656463623
101,389,48,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,disease_to_no_disease,1024,10,-0.1416775286197662
101,390,144,wachter_style,Baseline,no_disease_to_disease,1024,3,0.3286617994308471
101,391,113,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,no_disease_to_disease,1024,7,0.1150324195623397
101,392,159,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,no_disease_to_disease,1024,3,0.1186808943748474
101,393,120,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,no_disease_to_disease,1024,5,0.1222814247012138
101,394,172,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,no_disease_to_disease,1024,3,0.1029439195990562
101,395,159,proposed_countergan,Non-DP CounterGAN,no_disease_to_disease,1024,8,0.347330629825592
101,396,45,wachter_style,Baseline,disease_to_no_disease,1024,2,-0.6892349720001221
101,397,68,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,disease_to_no_disease,1024,10,-0.2978037893772125
101,398,66,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,disease_to_no_disease,1024,10,-0.1285887956619262
101,399,32,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,disease_to_no_disease,1024,10,-0.2068473696708679
101,400,49,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,disease_to_no_disease,1024,2,-0.1043256968259811
101,401,6,proposed_countergan,Non-DP CounterGAN,disease_to_no_disease,1024,8,-0.5349935293197632
101,402,104,wachter_style,Baseline,no_disease_to_disease,1024,2,1.8977301120758057
101,403,140,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,no_disease_to_disease,1024,1,0.105740338563919
101,404,138,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,no_disease_to_disease,1024,7,0.4230091869831085
101,405,139,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,no_disease_to_disease,1024,10,0.5220913887023926
101,406,157,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,no_disease_to_disease,1024,3,0.1460973769426345
101,407,103,countergan_one_shot,Non-DP CounterGAN,no_disease_to_disease,1024,2,0.944299578666687
101,408,27,uniform_random,Baseline,disease_to_no_disease,1024,10,-0.2580994665622711
101,409,52,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,disease_to_no_disease,1024,10,-0.2923694550991058
101,410,70,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,disease_to_no_disease,1024,2,-0.1955176293849945
101,411,28,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,disease_to_no_disease,1024,9,-0.2165343165397644
101,412,93,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,disease_to_no_disease,1024,2,-0.1795283854007721
101,413,98,proposed_countergan,Non-DP CounterGAN,disease_to_no_disease,1024,5,-0.5466607809066772
101,414,144,dice_gradient_style,Baseline,no_disease_to_disease,1024,8,0.3069266676902771
101,415,140,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,no_disease_to_disease,1024,4,0.4153319299221039
101,416,121,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,no_disease_to_disease,1024,10,0.368240475654602
101,417,135,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,no_disease_to_disease,1024,1,0.1249948963522911
101,418,104,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,no_disease_to_disease,1024,10,1.9649462699890137
101,419,157,proposed_countergan,Non-DP CounterGAN,no_disease_to_disease,1024,8,0.2130062580108642
101,420,61,uniform_random,Baseline,disease_to_no_disease,1024,6,-1.2556347846984863
101,421,65,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,disease_to_no_disease,1024,10,-0.3637066185474396
101,422,70,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,disease_to_no_disease,1024,3,-0.3496334552764892
101,423,40,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,disease_to_no_disease,1024,5,-0.1140256226062774
101,424,22,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,disease_to_no_disease,1024,3,-1.448162317276001
