direction,method,method_family,candidate_cohort_seed,plaintext_logit,he_logit,abs_logit_error,label_agreement
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,101,-11.340677131388462,-11.34067440593262,2.725455841456892e-06,True
no_disease_to_disease,dice_gradient_style,Baseline,101,9.199888862711347,9.199895633096677,6.770385329701867e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,8.19425457956262,8.194261806101931,7.226539311844249e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,42.93382886409874,42.93384588283314,1.7018734396856416e-05,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,2.9000639882550736,2.90006943782049,5.4495654162600715e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,2.3763701783007285,2.376375803300008,5.6249992796963966e-06,True
no_disease_to_disease,proposed_countergan,Non-DP CounterGAN,101,10.110774231176357,10.110782571792601,8.340616243884824e-06,True
disease_to_no_disease,genetic_cfe,Baseline,101,-11.308973795226851,-11.308970777849538,3.017377313341285e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,-28.52231496179729,-28.52231587027619,9.084789027724582e-07,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,-24.990923784842064,-24.990924430066233,6.452241692045391e-07,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,-3.1591449424490605,-3.1591403425602493,4.5998888111853375e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,-4.476055259260556,-4.476050615257032,4.6440035239569966e-06,True
disease_to_no_disease,proposed_countergan,Non-DP CounterGAN,101,-5.241446339927016,-5.241441772917933,4.567009082911966e-06,True
no_disease_to_disease,genetic_cfe,Baseline,101,2.911723536323663,2.9117296648351267,6.128511463643349e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,1.5576063476826043,1.5576117484384513,5.4007558469848505e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,1.3499500412732672,1.3499558464609298,5.805187662577538e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,3.975773510636932,3.9757802284740897,6.71783715766594e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,0.662112631554761,0.6621176573471752,5.0257924142371735e-06,True
no_disease_to_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,101,2.525437274681739,2.5254427101390227,5.43545728382e-06,True
disease_to_no_disease,genetic_cfe,Baseline,101,-8.789405680881524,-8.78940245561806,3.22526346430152e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,-32.33421159813426,-32.33421365182234,2.053688078262894e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,-6.646138205463963,-6.646134473329821,3.7321341421758802e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,-0.415228863159145,-0.4152233966188216,5.466540323351143e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,-13.176002408766262,-13.17600014686283,2.2619034325543907e-06,True
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,101,-3.6833374608259515,-3.6833327465356085,4.714290342988647e-06,True
no_disease_to_disease,uniform_random,Baseline,101,3.053434760387905,3.053440386880544,5.626492639354552e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,14.430046730583861,14.430056260777134,9.530193272766496e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,1.7994950238150107,1.7995005711005023,5.547285491624976e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,0.35889605152609505,0.35890099531898595,4.943792890899079e-06,True
