round,candidates,candidates_cumulative,feasible_candidates,margin_valid_candidates,archive_size,round_elapsed_seconds,cumulative_elapsed_seconds,query_id,method,method_seed,run_seed,robustness_seed,generator_training_seed,candidate_budget,direction,base_candidates,prune_candidates,fill_candidates,prune_valid_candidates,proposal_adapts_to_oracle,acceptance_denominator_kind
3,64,192,64,62,61,0.24849559299946122,0.7850494009999238,2,countergan_sparse_diverse_no_dp,11,7125801,14125801,11,512,disease_to_no_disease,32.0,22.0,10.0,20.0,True,all scored base+prune/fill candidates
4,64,256,64,62,82,0.25763400600044406,1.0426834070003679,2,countergan_sparse_diverse_no_dp,11,7125801,14125801,11,512,disease_to_no_disease,32.0,23.0,9.0,21.0,True,all scored base+prune/fill candidates
5,64,320,64,62,104,0.2480268880008225,1.2907102950011904,2,countergan_sparse_diverse_no_dp,11,7125801,14125801,11,512,disease_to_no_disease,32.0,23.0,9.0,21.0,True,all scored base+prune/fill candidates
6,64,384,64,60,128,0.2488554560004559,1.5395657510016463,2,countergan_sparse_diverse_no_dp,11,7125801,14125801,11,512,disease_to_no_disease,32.0,24.0,8.0,20.0,True,all scored base+prune/fill candidates
7,64,448,64,57,148,0.25159014399832813,1.7911558949999744,2,countergan_sparse_diverse_no_dp,11,7125801,14125801,11,512,disease_to_no_disease,32.0,26.0,6.0,19.0,True,all scored base+prune/fill candidates
8,64,512,64,56,171,0.2564447830009158,2.04760067800089,2,countergan_sparse_diverse_no_dp,11,7125801,14125801,11,512,disease_to_no_disease,32.0,26.0,6.0,18.0,True,all scored base+prune/fill candidates
1,64,64,64,61,26,0.239804106999145,0.239804106999145,2,proposed_dp_eps16_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,23.0,9.0,21.0,True,all scored base+prune/fill candidates
2,64,128,64,60,54,0.24855579500035674,0.48835990199950174,2,proposed_dp_eps16_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,25.0,7.0,22.0,True,all scored base+prune/fill candidates
3,64,192,64,59,83,0.2512735359996441,0.7396334379991458,2,proposed_dp_eps16_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,31.0,1.0,27.0,True,all scored base+prune/fill candidates
4,64,256,64,63,115,0.2493660899999668,0.9889995279991126,2,proposed_dp_eps16_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,30.0,2.0,29.0,True,all scored base+prune/fill candidates
5,64,320,64,61,138,0.2562446350002574,1.24524416299937,2,proposed_dp_eps16_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,30.0,2.0,27.0,True,all scored base+prune/fill candidates
6,64,384,64,57,160,0.26217212400115386,1.5074162870005239,2,proposed_dp_eps16_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,31.0,1.0,24.0,True,all scored base+prune/fill candidates
7,64,448,64,56,187,0.26682113599963486,1.7742374230001587,2,proposed_dp_eps16_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,30.0,2.0,22.0,True,all scored base+prune/fill candidates
8,64,512,64,55,216,0.25798446999942826,2.032221892999587,2,proposed_dp_eps16_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,30.0,2.0,21.0,True,all scored base+prune/fill candidates
1,64,64,64,62,39,0.24056315000052564,0.24056315000052564,2,proposed_dp_eps8_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,17.0,15.0,16.0,True,all scored base+prune/fill candidates
2,64,128,64,63,78,0.2394219180005166,0.47998506800104224,2,proposed_dp_eps8_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,16.0,16.0,16.0,True,all scored base+prune/fill candidates
3,64,192,64,64,108,0.24664806200053135,0.7266331300015736,2,proposed_dp_eps8_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,23.0,9.0,23.0,True,all scored base+prune/fill candidates
4,64,256,64,62,133,0.2543722249993152,0.9810053550008888,2,proposed_dp_eps8_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,26.0,6.0,24.0,True,all scored base+prune/fill candidates
5,64,320,64,58,158,0.25708991999999853,1.2380952750008873,2,proposed_dp_eps8_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,26.0,6.0,20.0,True,all scored base+prune/fill candidates
6,64,384,64,57,189,0.25823454199962725,1.4963298170005146,2,proposed_dp_eps8_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,26.0,6.0,19.0,True,all scored base+prune/fill candidates
